"Designator","Mid X","Mid Y","Layer","Rotation"
"LED1"," 11.43"," 10.78","TOP"," 136.80"
"LED10"," 27.19"," 33.56","TOP"," 333.70"
"LED11"," 30.79"," 31.01","TOP"," 315.60"
"LED12"," 33.42"," 27.46","TOP"," 297.50"
"LED13"," 34.81"," 23.28","TOP"," 279.40"
"LED14"," 34.84"," 18.87","TOP"," 261.20"
"LED15"," 33.49"," 14.67","TOP"," 243.10"
"LED16"," 30.90"," 11.10","TOP"," 225.00"
"LED17"," 47.43"," 10.78","TOP"," 136.80"
"LED18"," 63.19"," 33.56","TOP"," 333.70"
"LED19"," 66.79"," 31.01","TOP"," 315.60"
"LED2"," 8.73"," 14.27","TOP"," 118.70"
"LED20"," 69.42"," 27.46","TOP"," 297.50"
"LED21"," 70.81"," 23.28","TOP"," 279.40"
"LED22"," 70.84"," 18.87","TOP"," 261.20"
"LED23"," 69.49"," 14.67","TOP"," 243.10"
"LED24"," 66.90"," 11.10","TOP"," 225.00"
"LED25"," 44.73"," 14.27","TOP"," 118.70"
"LED26"," 43.24"," 18.42","TOP"," 100.60"
"LED27"," 43.12"," 22.83","TOP"," 82.50"
"LED28"," 44.38"," 27.05","TOP"," 64.30"
"LED29"," 46.89"," 30.68","TOP"," 46.20"
"LED3"," 7.24"," 18.42","TOP"," 100.60"
"LED30"," 50.40"," 33.35","TOP"," 28.10"
"LED31"," 54.57"," 34.79","TOP"," 10.00"
"LED32"," 58.98"," 34.86","TOP"," 351.90"
"LED4"," 7.12"," 22.83","TOP"," 82.50"
"LED5"," 8.38"," 27.05","TOP"," 64.30"
"LED6"," 10.89"," 30.68","TOP"," 46.20"
"LED7"," 14.40"," 33.35","TOP"," 28.10"
"LED8"," 18.57"," 34.79","TOP"," 10.00"
"LED9"," 22.98"," 34.86","TOP"," 351.90"
"R1"," 13.48"," 12.97","TOP"," 226.80"
"R10"," 25.87"," 30.87","TOP"," 63.70"
"R11"," 28.69"," 28.86","TOP"," 45.60"
"R12"," 30.76"," 26.08","TOP"," 27.50"
"R13"," 31.85"," 22.79","TOP"," 9.40"
"R14"," 31.87"," 19.33","TOP"," 351.20"
"R15"," 30.81"," 16.03","TOP"," 333.10"
"R16"," 28.78"," 13.22","TOP"," 315.00"
"R17"," 21.25"," 7.50","TOP"," 0.00"
"R18"," 21.25"," 6.38","TOP"," 0.00"
"R19"," 20.99"," 9.26","TOP"," 270.00"
"R2"," 11.36"," 15.71","TOP"," 208.70"
"R20"," 49.48"," 12.97","TOP"," 226.80"
"R21"," 61.87"," 30.87","TOP"," 63.70"
"R22"," 64.69"," 28.86","TOP"," 45.60"
"R23"," 66.76"," 26.08","TOP"," 27.50"
"R24"," 67.85"," 22.79","TOP"," 9.40"
"R25"," 67.87"," 19.33","TOP"," 351.20"
"R26"," 66.81"," 16.03","TOP"," 333.10"
"R27"," 64.78"," 13.22","TOP"," 315.00"
"R28"," 47.36"," 15.71","TOP"," 208.70"
"R29"," 46.19"," 18.97","TOP"," 190.60"
"R3"," 10.19"," 18.97","TOP"," 190.60"
"R30"," 46.09"," 22.44","TOP"," 172.50"
"R31"," 47.08"," 25.76","TOP"," 154.30"
"R32"," 49.05"," 28.61","TOP"," 136.20"
"R33"," 51.81"," 30.70","TOP"," 118.10"
"R34"," 55.09"," 31.83","TOP"," 100.00"
"R35"," 58.55"," 31.89","TOP"," 81.90"
"R36"," 57.25"," 7.50","TOP"," 0.00"
"R37"," 57.25"," 6.38","TOP"," 0.00"
"R38"," 56.99"," 9.26","TOP"," 270.00"
"R4"," 10.09"," 22.44","TOP"," 172.50"
"R5"," 11.08"," 25.76","TOP"," 154.30"
"R6"," 13.05"," 28.61","TOP"," 136.20"
"R7"," 15.81"," 30.70","TOP"," 118.10"
"R8"," 19.09"," 31.83","TOP"," 100.00"
"R9"," 22.55"," 31.89","TOP"," 81.90"
"U1"," 17.00"," 9.26","TOP"," 180.00"
"U2"," 25.00"," 9.26","TOP"," 180.00"
"U3"," 61.00"," 9.26","TOP"," 180.00"
"U4"," 53.00"," 9.26","TOP"," 180.00"
