LED1 10.43  9.78 137  0603-BLUE
LED2  7.73 13.27 119  0603-BLUE
LED3  6.24 17.42 101  0603-BLUE
LED4  6.12 21.83  83  0603-BLUE
LED5  7.38 26.05  64  0603-BLUE
LED6  9.89 29.68  46  0603-BLUE
LED7 13.40 32.35  28  0603-BLUE
LED8 17.57 33.79  10  0603-BLUE
LED9 21.98 33.86 352  0603-BLUE
LED10 26.19 32.56 334  0603-BLUE
LED11 29.79 30.01 316  0603-BLUE
LED12 32.42 26.46 298  0603-BLUE
LED13 33.81 22.28 279  0603-BLUE
LED14 33.84 17.87 261  0603-BLUE
LED15 32.49 13.67 243  0603-BLUE
LED16 29.90 10.10 225  0603-BLUE
R1 12.48 11.97 227 100 R0402
R2 10.36 14.71 209 100 R0402
R3  9.19 17.97 191 100 R0402
R4  9.09 21.44 173 100 R0402
R5 10.08 24.76 154 100 R0402
R6 12.05 27.61 136 100 R0402
R7 14.81 29.70 118 100 R0402
R8 18.09 30.83 100 100 R0402
R9 21.55 30.89  82 100 R0402
R10 24.87 29.87  64 100 R0402
R11 27.69 27.86  46 100 R0402
R12 29.76 25.08  28 100 R0402
R13 30.85 21.79   9 100 R0402
R14 30.87 18.33 351 100 R0402
R15 29.81 15.03 333 100 R0402
R16 27.78 12.22 315 100 R0402
R17 20.25  6.50   0 4k7 R0402
R18 20.25  5.38   0 4k7 R0402
R19 19.99  8.26 270 4k7 R0402
U1 16.00  8.26 180 ATTINY2313A QFN50P400X400X80-21T260N
U2 24.00  8.26 180 AW9523B QFN50P400X400X80-25T270N
